checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
No checking account,18,Existing credits paid back duly,Furniture/equipment,2515,< 100 DM,1-4 years,3,A93,A101,4,Real estate,43,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,21,Critical account / other credits,Furniture/equipment,2745,>= 1000 DM,4-7 years,3,A93,A101,2,Car or other,32,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,New car,672,< 100 DM,Unemployed,1,A92,A101,4,Real estate,54,A143,Own,1,Unemployed / unskilled non-resident,1,A192,A201,1,0,Good Credit
0-200 DM,36,No credits / paid back duly,Radio/television,3804,< 100 DM,1-4 years,4,A92,A101,1,Car or other,42,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
>= 200 DM,24,Critical account / other credits,New car,1344,Unknown / no savings,4-7 years,4,A93,A101,2,Real estate,37,A141,Own,2,Unskilled resident,2,A191,A201,2,1,Bad Credit
< 0 DM,10,Critical account / other credits,New car,1038,< 100 DM,4-7 years,4,A93,A102,3,Savings/life insurance,49,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,48,Critical account / other credits,New car,10127,500-1000 DM,1-4 years,2,A93,A101,2,Unknown / no property,44,A141,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,6,Existing credits paid back duly,Furniture/equipment,1543,>= 1000 DM,1-4 years,4,A91,A101,2,Real estate,33,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,30,Existing credits paid back duly,Used car,4811,Unknown / no savings,4-7 years,2,A92,A101,4,Savings/life insurance,24,A142,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,727,100-500 DM,< 1 year,4,A94,A101,3,Unknown / no property,33,A143,Own,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
0-200 DM,8,Existing credits paid back duly,Furniture/equipment,1237,< 100 DM,1-4 years,3,A92,A101,4,Real estate,24,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,9,Existing credits paid back duly,New car,276,< 100 DM,1-4 years,4,A94,A101,4,Real estate,22,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Other,5381,Unknown / no savings,Unemployed,3,A93,A101,4,Unknown / no property,40,A141,Free,1,Unemployed / unskilled non-resident,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Furniture/equipment,5511,100-500 DM,1-4 years,4,A93,A101,1,Car or other,25,A142,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,24,Existing credits paid back duly,Furniture/equipment,3749,< 100 DM,< 1 year,2,A92,A101,4,Car or other,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,685,< 100 DM,4-7 years,2,A94,A101,3,Car or other,25,A141,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
>= 200 DM,4,Existing credits paid back duly,New car,1494,Unknown / no savings,< 1 year,1,A93,A101,2,Real estate,29,A143,Own,1,Unskilled resident,2,A191,A202,1,0,Good Credit
< 0 DM,36,All credits at this bank paid back,Furniture/equipment,2746,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,31,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,708,< 100 DM,1-4 years,2,A93,A103,3,Savings/life insurance,38,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Furniture/equipment,4351,Unknown / no savings,1-4 years,1,A92,A101,4,Savings/life insurance,48,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Education,701,< 100 DM,1-4 years,4,A93,A101,2,Car or other,32,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,15,Delay in past payments,Furniture/equipment,3643,< 100 DM,>= 7 years,1,A92,A101,4,Savings/life insurance,27,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,30,Critical account / other credits,New car,4249,< 100 DM,Unemployed,4,A94,A101,2,Car or other,28,A143,Own,2,Management / self-employed,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,1938,< 100 DM,< 1 year,4,A91,A101,3,Savings/life insurance,32,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Used car,2910,< 100 DM,4-7 years,2,A93,A101,1,Unknown / no property,34,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,2659,>= 1000 DM,1-4 years,4,A93,A101,2,Car or other,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,New car,1028,< 100 DM,1-4 years,4,A92,A101,3,Real estate,36,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,8,Critical account / other credits,New car,3398,< 100 DM,4-7 years,1,A93,A101,4,Real estate,39,A143,Own,2,Unskilled resident,1,A191,A202,1,0,Good Credit
No checking account,12,Critical account / other credits,Furniture/equipment,5801,Unknown / no savings,>= 7 years,2,A93,A101,4,Savings/life insurance,49,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,New car,1525,>= 1000 DM,4-7 years,4,A92,A101,3,Car or other,34,A143,Own,1,Skilled employee,2,A192,A201,1,0,Good Credit
>= 200 DM,36,Existing credits paid back duly,Radio/television,4473,< 100 DM,>= 7 years,4,A93,A101,2,Car or other,31,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,6,Existing credits paid back duly,Radio/television,1068,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,28,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,24,Critical account / other credits,Used car,6615,< 100 DM,Unemployed,2,A93,A101,4,Unknown / no property,75,A143,Free,2,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Education,1864,100-500 DM,1-4 years,4,A92,A101,2,Real estate,30,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,60,Existing credits paid back duly,New car,7408,100-500 DM,< 1 year,4,A92,A101,2,Savings/life insurance,24,A143,Own,1,Management / self-employed,1,A191,A201,2,1,Bad Credit
No checking account,48,Critical account / other credits,Used car,11590,100-500 DM,1-4 years,2,A92,A101,4,Car or other,24,A141,Rent,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,24,No credits / paid back duly,Furniture/equipment,4110,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,23,A141,Rent,2,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,6,Critical account / other credits,Furniture/equipment,3384,< 100 DM,1-4 years,1,A91,A101,4,Real estate,44,A143,Rent,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
0-200 DM,13,Existing credits paid back duly,Radio/television,2101,< 100 DM,< 1 year,2,A92,A103,4,Savings/life insurance,23,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,15,Existing credits paid back duly,Domestic appliances,1275,Unknown / no savings,1-4 years,4,A92,A101,2,Car or other,24,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,4169,< 100 DM,1-4 years,4,A93,A101,4,Savings/life insurance,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,10,Existing credits paid back duly,Furniture/equipment,1521,< 100 DM,1-4 years,4,A91,A101,2,Car or other,31,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Education,5743,< 100 DM,< 1 year,2,A92,A101,4,Unknown / no property,24,A143,Free,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,21,Existing credits paid back duly,Furniture/equipment,3599,< 100 DM,4-7 years,1,A92,A101,4,Car or other,26,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Radio/television,3213,500-1000 DM,< 1 year,1,A94,A101,3,Real estate,25,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Business,4439,< 100 DM,>= 7 years,1,A93,A102,1,Real estate,33,A141,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
>= 200 DM,10,Existing credits paid back duly,New car,3949,< 100 DM,< 1 year,1,A93,A103,1,Savings/life insurance,37,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Radio/television,1459,< 100 DM,1-4 years,4,A92,A101,2,Car or other,43,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,13,Critical account / other credits,Radio/television,882,< 100 DM,< 1 year,4,A93,A103,4,Real estate,23,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Radio/television,3758,500-1000 DM,Unemployed,1,A92,A101,4,Unknown / no property,23,A143,Rent,1,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
No checking account,6,Delay in past payments,Business,1743,100-500 DM,1-4 years,1,A93,A101,2,Real estate,34,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,9,Critical account / other credits,Education,1136,>= 1000 DM,>= 7 years,4,A93,A101,3,Unknown / no property,32,A143,Free,2,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,9,Existing credits paid back duly,Domestic appliances,1236,< 100 DM,< 1 year,1,A92,A101,4,Real estate,23,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Furniture/equipment,959,< 100 DM,1-4 years,1,A92,A101,2,Car or other,29,A143,Own,1,Skilled employee,1,A191,A202,2,1,Bad Credit
No checking account,18,Critical account / other credits,Used car,3229,Unknown / no savings,Unemployed,2,A93,A101,4,Unknown / no property,38,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,12,No credits / paid back duly,Radio/television,6199,< 100 DM,1-4 years,4,A93,A101,2,Savings/life insurance,28,A143,Rent,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,10,Existing credits paid back duly,Education,727,500-1000 DM,>= 7 years,4,A93,A101,4,Unknown / no property,46,A143,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,New car,1246,< 100 DM,< 1 year,4,A93,A101,2,Real estate,23,A142,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Radio/television,2331,Unknown / no savings,>= 7 years,1,A93,A102,4,Real estate,49,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,36,Delay in past payments,Radio/television,4463,< 100 DM,1-4 years,4,A93,A101,2,Car or other,26,A143,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Radio/television,776,< 100 DM,1-4 years,4,A94,A101,2,Real estate,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,30,Existing credits paid back duly,Furniture/equipment,2406,< 100 DM,4-7 years,4,A92,A101,4,Real estate,23,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,18,Existing credits paid back duly,Education,1239,Unknown / no savings,1-4 years,4,A93,A101,4,Unknown / no property,61,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Radio/television,3399,Unknown / no savings,>= 7 years,2,A93,A101,3,Car or other,37,A143,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
>= 200 DM,12,Delay in past payments,New car,2247,< 100 DM,1-4 years,2,A92,A101,2,Car or other,36,A142,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Furniture/equipment,1766,< 100 DM,1-4 years,1,A94,A101,2,Savings/life insurance,21,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,2473,< 100 DM,Unemployed,4,A93,A101,1,Car or other,25,A143,Own,1,Unemployed / unskilled non-resident,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Business,1542,< 100 DM,4-7 years,2,A93,A101,4,Car or other,36,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Used car,3850,< 100 DM,4-7 years,3,A93,A101,1,Car or other,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,3650,< 100 DM,< 1 year,1,A92,A101,4,Car or other,22,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Furniture/equipment,3446,< 100 DM,>= 7 years,4,A93,A101,2,Car or other,42,A143,Own,1,Skilled employee,2,A191,A201,2,1,Bad Credit
0-200 DM,18,Existing credits paid back duly,Furniture/equipment,3001,< 100 DM,4-7 years,2,A92,A101,4,Real estate,40,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,New car,3079,Unknown / no savings,1-4 years,4,A93,A101,4,Real estate,36,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,6070,< 100 DM,>= 7 years,3,A93,A101,4,Car or other,33,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,10,Critical account / other credits,Furniture/equipment,2146,< 100 DM,< 1 year,1,A92,A101,3,Real estate,23,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,60,Critical account / other credits,New car,13756,Unknown / no savings,>= 7 years,2,A93,A101,4,Unknown / no property,63,A141,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,60,All credits at this bank paid back,Other,14782,100-500 DM,>= 7 years,3,A92,A101,4,Unknown / no property,60,A141,Free,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,48,All credits at this bank paid back,Business,7685,< 100 DM,4-7 years,2,A92,A103,4,Car or other,37,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,18,Delay in past payments,Radio/television,2320,< 100 DM,Unemployed,2,A94,A101,3,Real estate,34,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,7,Delay in past payments,Radio/television,846,Unknown / no savings,>= 7 years,3,A93,A101,4,Unknown / no property,36,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,New car,14318,< 100 DM,>= 7 years,4,A93,A101,2,Unknown / no property,57,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,6,Critical account / other credits,New car,362,100-500 DM,1-4 years,4,A92,A101,4,Car or other,52,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,20,Existing credits paid back duly,Furniture/equipment,2212,Unknown / no savings,4-7 years,4,A93,A101,4,Car or other,39,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Used car,12976,< 100 DM,Unemployed,3,A92,A101,4,Unknown / no property,38,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,22,Existing credits paid back duly,New car,1283,Unknown / no savings,4-7 years,4,A92,A101,4,Savings/life insurance,25,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,New car,1330,< 100 DM,< 1 year,4,A93,A101,1,Real estate,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,30,Delay in past payments,Business,4272,100-500 DM,1-4 years,2,A93,A101,2,Savings/life insurance,26,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,2238,< 100 DM,1-4 years,2,A92,A101,1,Car or other,25,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Radio/television,1126,Unknown / no savings,< 1 year,4,A92,A101,2,Real estate,21,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Furniture/equipment,7374,< 100 DM,Unemployed,4,A93,A101,4,Savings/life insurance,40,A142,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,15,Critical account / other credits,Business,2326,500-1000 DM,1-4 years,2,A93,A101,4,Car or other,27,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Business,1449,< 100 DM,4-7 years,3,A92,A101,2,Car or other,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,New car,1820,< 100 DM,1-4 years,2,A94,A101,2,Savings/life insurance,30,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Furniture/equipment,983,>= 1000 DM,< 1 year,1,A92,A101,4,Real estate,19,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,New car,3249,< 100 DM,4-7 years,2,A93,A101,4,Unknown / no property,39,A141,Free,1,Management / self-employed,2,A192,A201,1,0,Good Credit
< 0 DM,6,Critical account / other credits,Radio/television,1957,< 100 DM,4-7 years,1,A92,A101,4,Car or other,31,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,9,Critical account / other credits,Furniture/equipment,2406,< 100 DM,Unemployed,2,A93,A101,3,Car or other,31,A143,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
0-200 DM,39,Delay in past payments,Education,11760,100-500 DM,4-7 years,2,A93,A101,3,Unknown / no property,32,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,2578,< 100 DM,Unemployed,3,A92,A101,4,Unknown / no property,55,A143,Free,1,Management / self-employed,1,A191,A201,1,0,Good Credit
< 0 DM,36,Critical account / other credits,Furniture/equipment,2348,< 100 DM,1-4 years,3,A94,A101,2,Savings/life insurance,46,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,1223,< 100 DM,>= 7 years,1,A91,A101,1,Real estate,46,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Radio/television,1516,>= 1000 DM,1-4 years,4,A92,A101,1,Real estate,43,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Radio/television,1473,< 100 DM,< 1 year,3,A94,A101,4,Real estate,39,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Business,1887,Unknown / no savings,1-4 years,4,A94,A101,4,Real estate,28,A141,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Delay in past payments,Business,8648,< 100 DM,< 1 year,2,A93,A101,2,Car or other,27,A141,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,14,Delay in past payments,New car,802,< 100 DM,1-4 years,4,A93,A101,2,Car or other,27,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,18,Delay in past payments,New car,2899,Unknown / no savings,>= 7 years,4,A93,A101,4,Car or other,43,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Radio/television,2039,< 100 DM,< 1 year,1,A94,A101,1,Savings/life insurance,22,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Used car,2197,Unknown / no savings,4-7 years,4,A93,A101,4,Car or other,43,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,15,Existing credits paid back duly,Radio/television,1053,< 100 DM,< 1 year,4,A94,A101,2,Real estate,27,A143,Own,1,Skilled employee,1,A191,A202,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,3235,500-1000 DM,>= 7 years,3,A91,A101,2,Car or other,26,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
>= 200 DM,12,Critical account / other credits,New car,939,500-1000 DM,4-7 years,4,A94,A101,2,Real estate,28,A143,Own,3,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,24,Existing credits paid back duly,Radio/television,1967,< 100 DM,>= 7 years,4,A92,A101,4,Car or other,20,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,33,Critical account / other credits,Used car,7253,< 100 DM,4-7 years,3,A93,A101,2,Car or other,35,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Business,2292,< 100 DM,Unemployed,4,A93,A101,2,Car or other,42,A142,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,10,Existing credits paid back duly,New car,1597,500-1000 DM,1-4 years,3,A93,A101,2,Unknown / no property,40,A143,Rent,1,Unskilled resident,2,A191,A202,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,New car,1381,Unknown / no savings,1-4 years,4,A92,A101,2,Savings/life insurance,35,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,Used car,5842,< 100 DM,>= 7 years,2,A93,A101,2,Savings/life insurance,35,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,2579,< 100 DM,< 1 year,4,A93,A101,1,Real estate,33,A143,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
< 0 DM,18,Delay in past payments,Education,8471,Unknown / no savings,1-4 years,1,A92,A101,2,Car or other,23,A143,Rent,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,21,Existing credits paid back duly,New car,2782,500-1000 DM,4-7 years,1,A92,A101,2,Car or other,31,A141,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,New car,1042,Unknown / no savings,1-4 years,4,A92,A101,2,Savings/life insurance,33,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,New car,3186,>= 1000 DM,4-7 years,2,A92,A101,3,Car or other,20,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Used car,2028,Unknown / no savings,1-4 years,4,A93,A101,2,Car or other,30,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Critical account / other credits,New car,958,< 100 DM,4-7 years,2,A93,A101,3,Real estate,47,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,21,Delay in past payments,Furniture/equipment,1591,100-500 DM,4-7 years,4,A93,A101,3,Real estate,34,A143,Own,2,Management / self-employed,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Furniture/equipment,2762,Unknown / no savings,>= 7 years,1,A92,A101,2,Savings/life insurance,25,A141,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,18,Existing credits paid back duly,Used car,2779,< 100 DM,1-4 years,1,A94,A101,3,Car or other,21,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,28,Critical account / other credits,Radio/television,2743,< 100 DM,>= 7 years,4,A93,A101,2,Car or other,29,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,1149,>= 1000 DM,1-4 years,4,A93,A101,3,Real estate,46,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Furniture/equipment,1313,< 100 DM,>= 7 years,1,A93,A101,4,Car or other,20,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Critical account / other credits,Repairs,1190,< 100 DM,Unemployed,2,A92,A101,4,Unknown / no property,55,A143,Free,3,Unemployed / unskilled non-resident,2,A191,A201,2,1,Bad Credit
No checking account,5,Existing credits paid back duly,Business,3448,< 100 DM,4-7 years,1,A93,A101,4,Real estate,74,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Other,11328,< 100 DM,1-4 years,2,A93,A102,3,Car or other,29,A141,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,6,Critical account / other credits,Furniture/equipment,1872,< 100 DM,Unemployed,4,A93,A101,4,Unknown / no property,36,A143,Free,3,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Repairs,2058,< 100 DM,1-4 years,4,A91,A101,2,Real estate,33,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,9,Existing credits paid back duly,Furniture/equipment,2136,< 100 DM,1-4 years,3,A93,A101,2,Real estate,25,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1484,Unknown / no savings,1-4 years,2,A94,A101,1,Real estate,25,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,6,Existing credits paid back duly,Repairs,660,500-1000 DM,4-7 years,2,A94,A101,4,Real estate,23,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,New car,1287,>= 1000 DM,>= 7 years,4,A92,A101,4,Real estate,37,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,42,Critical account / other credits,Repairs,3394,< 100 DM,Unemployed,4,A93,A102,4,Car or other,65,A143,Own,2,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
>= 200 DM,12,All credits at this bank paid back,Business,609,< 100 DM,< 1 year,4,A92,A101,1,Real estate,26,A143,Own,1,Unemployed / unskilled non-resident,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,New car,1884,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,39,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,1620,< 100 DM,1-4 years,2,A92,A102,3,Savings/life insurance,30,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,20,Delay in past payments,Other,2629,< 100 DM,1-4 years,2,A93,A101,3,Car or other,29,A141,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Education,719,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,41,A141,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
0-200 DM,48,Critical account / other credits,Furniture/equipment,5096,< 100 DM,1-4 years,2,A92,A101,3,Car or other,30,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,9,Critical account / other credits,Education,1244,Unknown / no savings,>= 7 years,4,A92,A101,4,Savings/life insurance,41,A143,Rent,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,New car,1842,< 100 DM,< 1 year,4,A92,A101,4,Car or other,34,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
